Марка;Price USD;Gryvnya;City;Link;Low Title
Manitou MI 60D 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mi-60d-1819480.html;102 л.с.
Manitou ME318 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-me318-1819502.html;8.6 kW
Manitou MI 80D 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mi-80d-1819476.html;111 л.с.
Manitou MI 18D 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mi-18d-1819491.html;45 л.с.
Manitou MI 20D 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mi-20d-1819490.html;48 л.с.
Manitou ME435 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-me435-1819496.html;25.4 kW
Manitou MI 25D 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mi-25d-1819489.html;48 л.с.
Manitou MI 50D 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mi-50d-1819484.html;101 л.с.
Manitou MI 50LD 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mi-50ld-1819482.html;102 л.с.
Manitou ME445 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-me445-1819494.html;25.4 kW
Manitou ME440 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-me440-1819495.html;25.4 kW
Manitou MI 30D 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mi-30d-1819488.html;48 л.с.
Manitou MT-X 1440 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mt-x-1440-1819234.html;101 л.с.
Manitou MI 100D 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mi-100d-1819475.html;111 л.с.
Manitou МЕ 315 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-me-315-1819505.html;8.6 kW
Manitou MT-X 1030 ST 2019;Цену уточняйте;Not Available;Софиевская Борщаговка;https://auto.ria.com/newauto/auto-manitou-mt-x-1030-st-1819233.html;101 л.с.
МТЗ 892 Беларус 2019;19 815 $;530 000 грн;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-mtz-892-belarus-1815591.html;89 л.с. 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1815584.html;82.1
МТЗ 892 Беларус 2019;19 828 $;530 000 грн;Львов;https://auto.ria.com/newauto/auto-mtz-892-belarus-1832984.html;89 л.с. 4х4
МТЗ 1221.2 Беларус 2019;32 000 $;855 350 грн;Ковель;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1831739.html;base TROPIK EXPORT
МТЗ 82.1 Беларус 2019;18 321 $;490 000 грн;Львов;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1822154.html;82.1
МТЗ 892 Беларус 2018;17 198 $;460 000 грн;Львов;https://auto.ria.com/newauto/auto-mtz-892-belarus-1816921.html;89 л.с. 4х4
МТЗ 82.1 Беларус 2019;19 080 $;510 000 грн;Львов;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1832983.html;82.1
МТЗ 422 Беларус 2019;15 250 $;407 901 грн;Киев;https://auto.ria.com/newauto/auto-mtz-422-belarus-1812593.html;422.1 (49.8 л.с.)
МТЗ 892 Беларус 2019;19 792 $;530 000 грн;Львов;https://auto.ria.com/newauto/auto-mtz-892-belarus-1822155.html;89 л.с. 4х4
МТЗ 320 Беларус 2019;13 650 $;365 105 грн;Киев;https://auto.ria.com/newauto/auto-mtz-320-belarus-1812594.html;320.4 (36 л.с.)
МТЗ 1221.2 Беларус 2019;33 670 $;900 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1832044.html;130 л.с.
МТЗ 1025 Беларус 2019;26 188 $;700 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-1025-belarus-1832047.html;1025.2 (107 л.с.) 4х4
МТЗ 1221.2 Беларус 2019;Цену уточняйте;Not Available;Житомир;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1775274.html;130 л.с.
МТЗ 1221.2 Беларус 2019;Цену уточняйте;Not Available;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1815586.html;130 л.с.
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Житомир;https://auto.ria.com/newauto/auto-mtz-892-belarus-1799127.html;892.2 (90 л.с.) 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1815589.html;23/12
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Винница;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1813967.html;82.1
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Житомир;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1775279.html;23/12
МТЗ 1221.2 Беларус 2019;Цену уточняйте;Not Available;Киев;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1824817.html;130 л.с.
МТЗ 82.1 Беларус 2019;19 940 $;533 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1832046.html;23/32
МТЗ 1025 Беларус 2019;Цену уточняйте;Not Available;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-mtz-1025-belarus-1815583.html;1025.2 (107 л.с.) 4х4
МТЗ 82.1 Беларус 2019;19 077 $;510 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1824818.html;82.1
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Сумы;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1814249.html;23/32
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Житомир;https://auto.ria.com/newauto/auto-mtz-892-belarus-1799126.html;89 л.с. 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Житомир;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1775278.html;82.1
МТЗ 1221.2 Беларус 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1775204.html;130 л.с.
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Сумы;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1814248.html;23/12
МТЗ 1221.2 Беларус 2019;Цену уточняйте;Not Available;Винница;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1813840.html;130 л.с.
МТЗ 1221.2 Беларус 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1828874.html;130 л.с.
МТЗ 1025 Беларус 2019;Цену уточняйте;Not Available;Винница;https://auto.ria.com/newauto/auto-mtz-1025-belarus-1813844.html;1025.2 (107 л.с.) 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Житомир;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1775280.html;23/32
МТЗ 1025 Беларус 2019;Цену уточняйте;Not Available;Киев;https://auto.ria.com/newauto/auto-mtz-1025-belarus-1824821.html;1025.2 (107 л.с.) 4х4
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Винница;https://auto.ria.com/newauto/auto-mtz-892-belarus-1813845.html;89 л.с. 4х4
МТЗ 82.1 Беларус 2019;20 387 $;545 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1824819.html;23/12
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1828876.html;23/12
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Сумы;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1814247.html;82.1
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Винница;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1813843.html;23/32
МТЗ 1025 Беларус 2019;Цену уточняйте;Not Available;Сумы;https://auto.ria.com/newauto/auto-mtz-1025-belarus-1814242.html;1025.2 (107 л.с.) 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Винница;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1813842.html;23/12
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-mtz-892-belarus-1828879.html;89 л.с. 4х4
МТЗ 1025 Беларус 2019;Цену уточняйте;Not Available;Житомир;https://auto.ria.com/newauto/auto-mtz-1025-belarus-1775284.html;1025.2 (107 л.с.) 4х4
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-mtz-892-belarus-1815593.html;892.2 (90 л.с.) 4х4
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Сумы;https://auto.ria.com/newauto/auto-mtz-892-belarus-1814252.html;892.2 (90 л.с.) 4х4
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Сумы;https://auto.ria.com/newauto/auto-mtz-892-belarus-1814251.html;89 л.с. 4х4
МТЗ 82.1 Беларус 2019;20 387 $;545 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1824820.html;23/32
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1828877.html;23/32
МТЗ 892 Беларус 2019;19 826 $;530 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-892-belarus-1824822.html;89 л.с. 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1828875.html;82.1
МТЗ 1221.2 Беларус 2019;Цену уточняйте;Not Available;Сумы;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1814246.html;130 л.с.
МТЗ 1025 Беларус 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-mtz-1025-belarus-1828878.html;1025.2 (107 л.с.) 4х4
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-mtz-892-belarus-1828880.html;892.2 (90 л.с.) 4х4
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Винница;https://auto.ria.com/newauto/auto-mtz-892-belarus-1813846.html;892.2 (90 л.с.) 4х4
МТЗ 82.1 Беларус 2019;19 940 $;533 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1832045.html;23/12
МТЗ 892 Беларус 2019;20 948 $;560 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-892-belarus-1824823.html;892.2 (90 л.с.) 4х4
МТЗ 892 Беларус 2019;20 502 $;548 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-892-belarus-1832048.html;892.2 (90 л.с.) 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Кропивницкий (Кировоград);https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1815590.html;23/32
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Харьков;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1831676.html;82.1
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Харьков;https://auto.ria.com/newauto/auto-mtz-892-belarus-1831674.html;89 л.с. 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1799189.html;82.1
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1799190.html;23/12
МТЗ 892 Беларус 2019;19 629 $;525 000 грн;Запорожье;https://auto.ria.com/newauto/auto-mtz-892-belarus-1813566.html;892.2 (90 л.с.) 4х4
МТЗ 82.1 Беларус 2019;17 760 $;475 000 грн;Запорожье;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1813563.html;82.1
МТЗ 892 Беларус 2019;17 947 $;480 000 грн;Запорожье;https://auto.ria.com/newauto/auto-mtz-892-belarus-1813565.html;89 л.с. 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1799191.html;23/32
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Харьков;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1831677.html;23/12
МТЗ 1025 Беларус 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-mtz-1025-belarus-1799186.html;1025.2 (107 л.с.) 4х4
МТЗ 82.1 Беларус 2019;Цену уточняйте;Not Available;Харьков;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1831678.html;23/32
МТЗ 1221.2 Беларус 2019;Цену уточняйте;Not Available;Харьков;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1831679.html;130 л.с.
МТЗ 892 Беларус 2019;Цену уточняйте;Not Available;Харьков;https://auto.ria.com/newauto/auto-mtz-892-belarus-1831675.html;892.2 (90 л.с.) 4х4
МТЗ 892 Беларус 2019;19 619 $;525 000 грн;Черкассы;https://auto.ria.com/newauto/auto-mtz-892-belarus-1799195.html;89 л.с. 4х4
МТЗ 892 Беларус 2019;19 080 $;510 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-892-belarus-1832043.html;89 л.с. 4х4
МТЗ 82.1 Беларус 2019;19 704 $;527 000 грн;Запорожье;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1813564.html;23/12
МТЗ 82.1 Беларус 2019;18 519 $;495 000 грн;Киев;https://auto.ria.com/newauto/auto-mtz-82-1-belarus-1832042.html;82.1
МТЗ 892 Беларус 2019;20 740 $;555 000 грн;Черкассы;https://auto.ria.com/newauto/auto-mtz-892-belarus-1799196.html;892.2 (90 л.с.) 4х4
МТЗ 1025 Беларус 2019;Цену уточняйте;Not Available;Харьков;https://auto.ria.com/newauto/auto-mtz-1025-belarus-1831672.html;1025.2 (107 л.с.) 4х4
МТЗ 1221.2 Беларус 2019;32 155 $;860 000 грн;Запорожье;https://auto.ria.com/newauto/auto-mtz-1221-2-belarus-1813568.html;130 л.с.
МТЗ 1025 Беларус 2019;24 677 $;660 000 грн;Запорожье;https://auto.ria.com/newauto/auto-mtz-1025-belarus-1813567.html;1025.2 (107 л.с.) 4х4
Cadillac Escalade 2020;260 000 $;6 949 722 грн;Киев;https://auto.ria.com/newauto/auto-cadillac-escalade-1833878.html;Armored level B6 6.2 АТ
Cadillac Escalade 2020;125 999 $;3 367 915 грн;Киев;https://auto.ria.com/newauto/auto-cadillac-escalade-1835063.html;Luxury 6.2 АТ
Cadillac Escalade 2019;200 075 $;5 347 932 грн;Киев;https://auto.ria.com/newauto/auto-cadillac-escalade-1833714.html;Armored level B6 6.2 АТ
Cadillac Escalade 2019;249 999 $;6 679 323 грн;Киев;https://auto.ria.com/newauto/auto-cadillac-escalade-1755686.html;Platinum ESV 6.2 АТ
Cadillac CT6 2020;83 800 $;2 243 251 грн;Киев;https://auto.ria.com/newauto/auto-cadillac-ct6-1637840.html;Individual 3.6L 10AT (335 л.с.) AWD
Cadillac Escalade 2021;147 900 $;3 719 534 грн;Киев;https://auto.ria.com/newauto/auto-cadillac-escalade-1837819.html;Luxury 6.2 АТ
Cadillac CT4 2020;64 800 $;1 735 247 грн;Киев;https://auto.ria.com/newauto/auto-cadillac-ct4-1838097.html;Premium Luxury 2.7L 10AT (313 л.с.) AWD
Cadillac XT5 2020;84 500 $;2 261 989 грн;Киев;https://auto.ria.com/newauto/auto-cadillac-xt5-1636775.html;3.6 AT (310 л.с.)
Cadillac CT5 2020;69 820 $;1 869 675 грн;Киев;https://auto.ria.com/newauto/auto-cadillac-ct5-1838102.html;Individual 3.0L 10AT (340 л.с.) AWD
Massey Ferguson MF 2020;83 049 $;2 223 931 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-massey-ferguson-mf-1838085.html;TH.7038
Massey Ferguson MF 2020;231 248 $;6 192 472 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-massey-ferguson-mf-1838086.html;7370 S
Massey Ferguson MF 2020;211 236 $;5 656 585 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-massey-ferguson-mf-1838084.html;8737 S
Massey Ferguson MF 2020;116 736 $;3 126 007 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-massey-ferguson-mf-1838081.html;7722
Massey Ferguson MF 2020;52 000 $;1 392 482 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-massey-ferguson-mf-1838080.html;6713
Massey Ferguson MF 2020;122 295 $;3 274 865 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-massey-ferguson-mf-1838082.html;7724
Bashan ATV 2018;2 737 $;73 255 грн;Киев;https://auto.ria.com/newauto/auto-bashan-atv-1623015.html;BS 250S-24 LTD SE
Bashan ATV 2018;2 105 $;56 350 грн;Киев;https://auto.ria.com/newauto/auto-bashan-atv-1623014.html;BS 250S-11B
Porsche Cayenne 2019;112 895 $;3 257 012 грн;Киев;https://auto.ria.com/newauto/auto-porsche-cayenne-1836760.html;base
Renault Logan 2020;14 155 $;378 400 грн;Киев;https://auto.ria.com/newauto/auto-renault-logan-1827094.html;New 0.9 TCe 5MT (90 л.с.)
Citroen C4 Cactus 2020;20 541 $;550 050 грн;Харьков;https://auto.ria.com/newauto/auto-citroen-c4-cactus-1838517.html;1.5 BlueHDi АКПП (120 л.с.) S&S
Volkswagen Touareg 2019;73 086 $;1 953 576 грн;Ивано-Франковск;https://auto.ria.com/newauto/auto-volkswagen-touareg-1831047.html;3.0 TFSI AT (340 л.с.) AWD
Nissan Qashqai 2020;22 294 $;597 000 грн;Харьков;https://auto.ria.com/newauto/auto-nissan-qashqai-1837721.html;New FL 2.0 CVT (144 л.с.) 2WD
Ravon Nexia R3 2020;11 964 $;319 800 грн;Харьков;https://auto.ria.com/newauto/auto-ravon-nexia-r3-1834576.html;1.5 AT (106 л.с.)
Opel Grandland X 2020;23 662 $;632 200 грн;Запорожье;https://auto.ria.com/newauto/auto-opel-grandland-x-1838105.html;1.5D 6MT (130 л.с.) Start/Stop
Hyundai H1 пасс. 2020;38 066 $;1 017 500 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-hyundai-h1-pass-1832777.html;2.5 CRDi АТ (170 л.с.) (8s)
Alfa Romeo Stelvio 2019;46 764 $;1 250 000 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1833613.html;Individual 2.0i MultiAir AT (200 л.с.) AWD
Alfa Romeo Giulia 2019;31 388 $;839 000 грн;Харьков;https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1825590.html;Super 2.0i MultiAir AT (200 л.с.)
Alfa Romeo Stelvio 2017;49 999 $;1 336 458 грн;Харьков;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1816839.html;Lounge Edition 2.0i MultiAir AT (280 л.с.) AWD
Alfa Romeo Giulietta 2019;23 996 $;641 400 грн;Харьков;https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1834743.html;Super 1.4i MultiAir DDCT (170 л.с.)
Alfa Romeo Stelvio 2018;44 381 $;1 186 300 грн;Одесса;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1833726.html;Individual 2.2 Multijet AT (190 л.с.)
Alfa Romeo Stelvio 2019;49 671 $;1 327 700 грн;Харьков;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1834745.html;Super 2.0i MultiAir AT (280 л.с.) AWD
Alfa Romeo Giulietta 2019;23 996 $;641 400 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1831737.html;Individual 1.4T АT (170 л.с.)
Alfa Romeo Giulia 2018;37 187 $;994 000 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1835563.html;Individual 2.0i MultiAir AT (200 л.с.)
Alfa Romeo Stelvio 2019;51 751 $;1 384 105 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1821289.html;Individual 2.0i MultiAir AT (280 л.с.) AWD
Alfa Romeo Stelvio 2019;46 384 $;1 240 000 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1826566.html;Individual 2.0i MultiAir AT (280 л.с.) AWD
Alfa Romeo Stelvio 2018;45 268 $;1 210 000 грн;Одесса;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1833725.html;Individual 2.0i MultiAir AT (280 л.с.) AWD
Alfa Romeo Giulietta 2019;23 996 $;641 400 грн;Одесса;https://auto.ria.com/newauto/auto-alfa-romeo-giulietta-1833723.html;Super 1.4i MultiAir DDCT (170 л.с.)
Alfa Romeo Giulia 2019;36 417 $;974 000 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1824584.html;Individual 2.2d MultiJet AT (150 л.с.)
Alfa Romeo Stelvio 2018;44 376 $;1 186 300 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1830259.html;Individual 2.2 Multijet AT (190 л.с.) AWD
Alfa Romeo Stelvio 2019;49 014 $;1 311 000 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1817603.html;Individual 2.0i MultiAir AT (280 л.с.) AWD
Alfa Romeo Giulia 2019;46 787 $;1 250 000 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1832102.html;Individual 2.0i MultiAir AT (280 л.с.) AWD
Alfa Romeo 4C 2020;83 780 $;2 242 715 грн;Киев;https://auto.ria.com/newauto/auto-alfa-romeo-4c-1637826.html;1.8 TBi DDCT (240 л.с.)
Alfa Romeo Giulia 2020;46 520 $;1 245 299 грн;Киев;https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1637824.html;2.2d MultiJet MT (150 л.с.)
Alfa Romeo Stelvio 2019;49 695 $;1 327 700 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1815550.html;Individual 2.0i MultiAir AT (280 л.с.) AWD
Alfa Romeo Giulia 2020;108 280 $;2 451 098 грн;Киев;https://auto.ria.com/newauto/auto-alfa-romeo-giulia-1637825.html;Super 2.9 Bi-Turbo AT (510 л.с.)
Alfa Romeo Stelvio 2020;90 230 $;2 414 050 грн;Киев;https://auto.ria.com/newauto/auto-alfa-romeo-stelvio-1719790.html;First Edition Q4 2.0i MultiAir AT (280 л.с.) AWD
Aston Martin DBS Superleggera 2019;385 870 $;10 321 099 грн;Борисполь;https://auto.ria.com/newauto/auto-aston-martin-dbs-superleggera-1813508.html;Individual 5.2 AT (725 л.с.)
Aston Martin DBX 2020;235 000 $;6 281 480 грн;Киев;https://auto.ria.com/newauto/auto-aston-martin-dbx-1835851.html;Individual 4.0 AT (550 л.с.) 4x4
Aston Martin DBX 2021;312 516 $;8 354 552 грн;Киев;https://auto.ria.com/newauto/auto-aston-martin-dbx-1829287.html;4.0 AT (550 л.с.) 4x4
Aston Martin DBX 2020;238 979 $;6 387 843 грн;Киев;https://auto.ria.com/newauto/auto-aston-martin-dbx-1835816.html;4.0 AT (550 л.с.) 4x4
Aston Martin DB11 2021;12 726 $;340 000 грн;Жмеринка;https://auto.ria.com/newauto/auto-aston-martin-db11-1839735.html;Launch Edition 5.2 AT (608 л.с.)
Aston Martin DBX 2020;166 758 $;4 460 040 грн;Киев;https://auto.ria.com/newauto/auto-aston-martin-dbx-1820960.html;4.0 AT (550 л.с.) 4x4
Aston Martin Vulcan 2021;4 450 000 $;119 057 081 грн;Киев;https://auto.ria.com/newauto/auto-aston-martin-vulcan-1739401.html;7.0 AT (812 л.с.)
Aston Martin DBX 2020;244 536 $;6 536 368 грн;Киев;https://auto.ria.com/newauto/auto-aston-martin-dbx-1835824.html;4.0 AT (550 л.с.) 4x4
Aston Martin DB11 2020;324 580 $;8 675 731 грн;Киев;https://auto.ria.com/newauto/auto-aston-martin-db11-1719792.html;Launch Edition 5.2 AT (608 л.с.)
Aston Martin DBX 2021;280 000 $;7 485 296 грн;Киев;https://auto.ria.com/newauto/auto-aston-martin-dbx-1829804.html;4.0 AT (550 л.с.) 4x4
МАЗ KrASZ 2019;67 263 $;1 799 000 грн;Киев;https://auto.ria.com/newauto/auto-maz-krasz-1824730.html;M5C5D1
МАЗ 5340C2 2019;Цену уточняйте;Not Available;Киев;https://auto.ria.com/newauto/auto-maz-5340c2-1824787.html;КС-4571BY-C-02
МАЗ 5907C2 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-maz-5907c2-1824430.html;310
МАЗ 5904С2 2019;Цену уточняйте;Not Available;Киев;https://auto.ria.com/newauto/auto-maz-5904s2-1824757.html;010
МАЗ KrASZ 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-maz-krasz-1824433.html;M4CAM1
МАЗ KrASZ 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-maz-krasz-1828775.html;M4CAM1
МАЗ 5903С2 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-maz-5903s2-1828791.html;F10 Faun
МАЗ 690GC3 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-maz-690gc3-1828790.html;N10
МАЗ 690GC3 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-maz-690gc3-1824449.html;N10
МАЗ KrASZ 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-maz-krasz-1824432.html;M4САМ2
МАЗ 4907N2 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-maz-4907n2-1824431.html;030
МАЗ 4371N2 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-maz-4371n2-1828815.html;АТП-17-8
МАЗ 5340C2 2019;Цену уточняйте;Not Available;Киев;https://auto.ria.com/newauto/auto-maz-5340c2-1824788.html;КС-45729-С-02
МАЗ KrASZ 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-maz-krasz-1824433.html;M4CAM1
МАЗ 5904С2 2019;Цену уточняйте;Not Available;Киев;https://auto.ria.com/newauto/auto-maz-5904s2-1824757.html;010
МАЗ KrASZ 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-maz-krasz-1828775.html;M4CAM1
МАЗ 5903С2 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-maz-5903s2-1828791.html;F10 Faun
МАЗ 6312C3 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-maz-6312c3-1828821.html;КС-5571BY-C-22
МАЗ 5340C2 2019;Цену уточняйте;Not Available;Черкассы;https://auto.ria.com/newauto/auto-maz-5340c2-1824478.html;КС-4571BY-C-02
МАЗ 4907N2 2019;Цену уточняйте;Not Available;Львов;https://auto.ria.com/newauto/auto-maz-4907n2-1828773.html;030
МАЗ 5340C2 2019;Цену уточняйте;Not Available;Киев;https://auto.ria.com/newauto/auto-maz-5340c2-1824784.html;АГП-30-А
